sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
2,484,5268845,5455134,5453529,5483700,5452546,5434532,5192802,4839841,4578877,4340643,3892354,3284141,2672612,2093012,1483313,1002803,645705,625499
0,558,645017,658223,642964,608850,582181,577970,558725,522737,452847,368180,294198,242904,208423,165956,100734,65362,46430,37395
1,558,329415,337509,331311,314717,300149,294027,279378,256101,215982,170402,133089,108858,93416,72921,43298,27714,19141,13464
2,558,315602,320714,311653,294133,282032,283943,279347,266636,236865,197778,161109,134046,115007,93035,57436,37648,27289,23931
0,591,390331,388541,377230,363068,354850,338751,323298,309018,294218,276999,247292,210753,172203,133505,99218,71210,47719,48753
1,591,199631,198475,192587,184864,179587,170532,162242,155143,147382,138196,122819,103812,83811,63930,46670,32813,21350,20756
2,591,190700,190066,184643,178204,175263,168219,161056,153875,146836,138803,124473,106941,88392,69575,52548,38397,26369,27997
0,84,39803,39094,38143,39450,40210,38076,34025,29468,24617,21623,18714,15360,11688,8199,5585,3597,2322,2227
1,84,20204,19767,19400,19935,20066,18896,16676,14168,11771,10389,9089,7610,5786,4082,2855,1835,1149,1076
2,84,19599,19327,18743,19515,20144,19180,17349,15300,12846,11234,9625,7750,5902,4117,2730,1762,1173,1151
0,916,15897450,16170976,16078545,16080511,15863991,15472629,14293603,12944623,11869416,10861344,9521958,8031929,6545628,5107909,3609059,2429051,1553171,1407283
1,916,8132433,8267251,8219533,8192073,8013928,7745905,7019365,6229829,5629591,5108262,4437549,3734436,3028177,2333475,1632737,1084986,675510,568301
2,916,7765017,7903725,7859012,7888438,7850063,7726724,7274238,6714794,6239825,5753082,5084409,4297493,3517451,2774434,1976322,1344065,877661,838982
0,152,1120107,1242080,1263898,1231394,1315593,1512136,1562534,1438365,1338292,1271195,1221989,1165764,1034057,863292,644839,442703,292508,289446
1,152,570712,632335,643098,626131,667887,767056,792556,727189,671568,631790,600768,566020,494158,403308,293647,192202,117107,98172
2,152,549395,609745,620800,605263,647706,745080,769978,711176,666724,639405,621221,599744,539899,459984,351192,250501,175401,191274
0,170,3671694,3686505,3763386,4078286,4319193,4395684,4159766,3825549,3532721,3137373,2921041,2744794,2262451,1788940,1323112,868568,548303,485400
1,170,1879248,1885715,1923146,2080772,2194687,2220531,2087125,1895308,1715139,1481489,1368641,1291167,1044129,813468,598712,381750,231781,193866
2,170,1792446,1800790,1840240,1997514,2124506,2175153,2072641,1930241,1817582,1655884,1552400,1453627,1218322,975472,724400,486818,316522,291534
0,218,1672791,1636360,1571695,1549926,1563508,1502921,1397743,1276378,1141578,1025466,907797,771275,637597,521830,370799,253063,166830,145808
1,218,855672,836224,802757,790094,794486,759467,701736,637857,566812,505385,445157,376422,308920,250042,175140,116706,74609,58783
2,218,817119,800136,768938,759832,769022,743454,696007,638521,574766,520081,462640,394853,328677,271788,195659,136357,92221,87025
0,254,37346,32182,29317,29186,27364,22901,19250,19672,20122,18421,15998,12876,10448,8248,5228,3125,1579,906
1,254,19046,16577,14946,14561,13653,11235,9002,9152,9780,9116,7859,6389,5096,4064,2654,1463,682,254
2,254,18300,15605,14371,14625,13711,11666,10248,10520,10342,9305,8139,6487,5352,4184,2574,1662,897,652
0,328,72224,74315,70446,70684,74966,71965,50278,44971,46296,44214,43143,38062,31794,23474,16261,9333,6301,5312
1,328,37004,38303,36151,35762,38850,37395,25505,22452,23092,21893,21586,18765,15593,10838,7474,4327,2780,2234
2,328,35220,36012,34295,34922,36116,34570,24773,22519,23204,22321,21557,19297,16201,12636,8787,5006,3521,3078
0,32,3718154,3736212,3641350,3558581,3486860,3513503,3411075,3172022,3119874,2820324,2388347,2156729,1934934,1681155,1390626,1020754,661384,598350
1,32,1894122,1902603,1853621,1809280,1768229,1774374,1709382,1577911,1538318,1372390,1146465,1019442,898639,760808,602614,411991,240696,176528
2,32,1824032,1833609,1787729,1749301,1718631,1739129,1701693,1594111,1581556,1447934,1241882,1137287,1036295,920347,788012,608763,420688,421822
0,600,706263,686473,677792,659322,666774,654461,609875,544313,444347,343037,294495,266362,228858,190947,141044,92620,57133,41726
1,600,361304,350938,346276,336865,340686,334017,310936,277765,227391,175315,149014,133953,114940,95292,69106,43735,25623,16938
2,600,344959,335535,331516,322457,326088,320444,298939,266548,216956,167722,145481,132409,113918,95655,71938,48885,31510,24788
0,604,2928302,2642600,2676406,2514847,2494049,2708083,2722743,2589348,2380501,2126865,1872647,1607152,1323263,1086034,807118,551871,364637,287752
1,604,1501282,1336880,1324179,1230555,1165566,1295448,1372493,1332452,1223825,1090104,946514,799742,654165,528868,386903,256453,166825,117105
2,604,1427020,1305720,1352227,1284292,1328483,1412635,1350250,1256896,1156676,1036761,926133,807410,669098,557166,420215,295418,197812,170647
0,68,1187310,1178479,1164628,1143498,1089467,1004632,905832,802177,700869,601725,508004,424877,352676,290988,235402,177423,116329,108331
1,68,606830,602011,594674,583004,553455,508237,456059,401929,349595,298644,250870,208638,171796,139946,111526,82092,51635,43782
2,68,580480,576468,569954,560494,536012,496395,449773,400248,351274,303081,257134,216239,180880,151042,123876,95331,64694,64549
0,740,51644,52640,51923,50713,49017,47447,44218,40850,36100,36412,34202,32131,25091,16394,11833,7844,4786,3593
1,740,26706,27270,26892,26293,25424,24271,22637,20524,17920,17979,17039,15818,12169,7567,5099,3129,1747,1258
2,740,24938,25370,25031,24420,23593,23176,21581,20326,18180,18433,17163,16313,12922,8827,6734,4715,3039,2335
0,76,14235073,14568174,14702161,15645026,16867469,17018780,16962186,17346454,16375781,14350050,13020849,11988097,10108897,7946655,5823683,3824078,2439335,2130840
1,76,7281320,7450090,7505710,7961670,8543673,8573699,8489368,8612944,8065651,7000468,6273660,5696121,4723347,3630219,2582175,1626554,975414,739233
2,76,6953753,7118084,7196451,7683356,8323796,8445081,8472818,8733510,8310130,7349582,6747189,6291976,5385550,4316436,3241508,2197524,1463921,1391607
0,858,233558,237256,232882,239307,249901,256903,247330,224674,228441,227579,202314,192068,183076,155566,126646,99091,71342,88081
1,858,119513,121092,119026,122241,127103,130333,124878,112413,113258,112470,98362,91502,85357,70898,55000,39950,25287,21798
2,858,114045,116164,113856,117066,122798,126570,122452,112261,115183,115109,103952,100566,97719,84668,71646,59141,46055,66283
0,862,2255438,2630772,2717291,2602287,2308458,2113200,2127222,2052975,1929124,1760707,1622708,1466452,1237075,936397,645481,416587,242744,202071
1,862,1147375,1340625,1387864,1326385,1163576,1049335,1043685,998808,934291,851957,783178,701361,584233,436118,293137,181526,98339,69864
2,862,1108063,1290147,1329427,1275902,1144882,1063865,1083537,1054167,994833,908750,839530,765091,652842,500279,352344,235061,144405,132207
0,931,31890081,32404228,32563366,33373246,34512812,34822821,34220257,33377949,31294255,27763600,25053802,22866907,19370433,15510061,11542305,7767284,4973329,4387700
1,931,16300224,16540755,16578437,16943709,17397373,17485503,17145467,16626805,15456745,13569116,12109247,10925472,9112648,7151505,5183296,3341983,2012578,1539843
2,931,15589857,15863473,15984929,16429537,17115439,17337318,17074790,16751144,15837510,14194484,12944555,11941435,10257785,8358556,6359009,4425301,2960751,2847857
0,124,2009641,1989227,2017811,2034795,2277698,2703432,2731968,2682001,2562977,2408781,2366450,2635636,2663627,2272351,1888603,1376270,869979,897169
1,124,1029887,1017820,1030653,1038178,1162729,1377460,1376568,1338525,1274473,1199225,1184829,1319037,1327165,1112043,910720,645062,382902,333629
2,124,979754,971407,987158,996617,1114969,1325972,1355400,1343476,1288504,1209556,1181621,1316599,1336462,1160308,977883,731208,487077,563540
0,840,19961028,19780720,20862624,21477384,22048558,23609813,23703406,22279856,20733753,19966908,20116605,20987338,20869692,18551007,15197610,10776724,6828412,7053830
1,840,10199563,10109076,10658446,10951501,11206021,12007251,12048079,11231289,10354316,9909321,10039900,10450615,10189468,8835904,7049596,4814898,2946486,2656279
